"playerID","feature_batting_average","feature_rbi","feature_homeruns","feature_stolen_bases","feature_runs_scored","feature_ERA","feature_saves","feature_strikeouts","feature_wins","feature_WHIP","feature_putouts","feature_assists","feature_doubleplays","feature_allstar_appearences","feature_awards","feature_salary","classification"
"robinja02","0.3113","734","137","197","947",\N,\N,\N,\N,\N,"4007","2728","830","0","10",\N,"Y"
"simmocu01","0.1709","76","1","2","93","4.2082608990047286","5","1697","193","1.3069","127","514","26","0",\N,\N,"N"
"snidedu01","0.2955","1333","407","99","1259",\N,\N,\N,\N,\N,"4099","123","18","0","6",\N,"Y"
"torgeea01","0.2652","740","149","133","848",\N,\N,\N,\N,\N,"11684","815","1097",\N,\N,\N,"N"
"wertzvi01","0.2774","1178","266","9","867",\N,\N,\N,\N,\N,"6807","519","557","0","3",\N,"N"
"westrwe01","0.2166","315","96","10","302",\N,\N,\N,\N,\N,"3639","418","82","0",\N,\N,"N"
"ashburi01","0.3077","586","29","234","1322",\N,\N,\N,\N,\N,"6094","182","44","3",\N,\N,"Y"
"bauerha01","0.2768","703","164","50","833",\N,\N,\N,\N,\N,"2384","107","20","0",\N,\N,"N"
"camparo01","0.2761","856","242","25","627",\N,\N,\N,\N,\N,"6520","550","82","0","10",\N,"Y"
"erskica01","0.1565","31","1","0","51","4.321666677792867","13","981","122","1.3284","105","262","20","0",\N,\N,"N"
"garvene01","0.2177","72","7","1","87","3.768000014623006","12","881","129","1.3531","203","470","41","0",\N,\N,"N"
"paigesa01","0.0968","4","0","0","2","2.818333307902018","32","288","28","1.2794","17","62","3","0",\N,\N,"Y"
"portebo01","0.1841","43","6","1","34","5.257499948143959","8","572","87","1.3542","80","280","15","0","2",\N,"N"
"roberro01","0.1672","103","5","3","107","3.555714272317432","25","2357","286","1.1696","316","601","45","0","8",\N,"Y"
"smallro01","0.2273","305","61","4","277",\N,\N,\N,\N,\N,"1464","2308","471",\N,\N,\N,"N"
"burgesm01","0.2948","673","126","13","485",\N,\N,\N,\N,\N,"5214","441","63","9","1",\N,"N"
"crandde01","0.2539","657","179","26","585",\N,\N,\N,\N,\N,"7449","766","125","9","7",\N,"N"
"dropowa01","0.2699","704","152","5","478",\N,\N,\N,\N,\N,"9173","674","969","0","3",\N,"N"
"hemusso01","0.2732","263","51","21","459",\N,\N,\N,\N,\N,"1240","1951","404",\N,\N,\N,"N"
"martimo01","0.1697","7","0","0","15","5.960000019807082","15","245","38","1.4157","18","116","12",\N,\N,\N,"N"
"minosmi01","0.2984","1023","186","205","1136",\N,\N,\N,\N,\N,"3416","331","36","6","5",\N,"N"
"newcodo01","0.2711","108","15","2","94","4.018333375453949","7","1129","149","1.2030","159","313","27","0","7",\N,"N"
"shantbo01","0.1953","46","1","3","60","3.5063157959988245","48","1072","119","1.2595","175","468","48","0","11",\N,"N"
"sievero01","0.2666","1147","318","14","945",\N,\N,\N,\N,\N,"9064","661","759","5","1",\N,"N"
"burdele01","0.1830","75","12","2","101","4.069047632671538","31","1074","203","1.2434","245","622","55","3","2",\N,"N"
"carrach01","0.2582","474","55","31","568",\N,\N,\N,\N,\N,"2206","3724","786","0",\N,\N,"N"
"fordwh01","0.1730","69","3","3","91","2.672500006854534","10","1956","236","1.2150","173","630","49","7","10",\N,"Y"
"jenseja01","0.2794","929","199","143","810",\N,\N,\N,\N,\N,"2739","124","20","0","3",\N,"N"
"lawve01","0.2163","90","11","1","96","3.9693749994039536","13","1092","162","1.2837","213","453","41","3","4",\N,"N"
"martibi02","0.2565","333","64","34","425",\N,\N,\N,\N,\N,"2022","2252","613","0","1",\N,"N"
"courtcl01","0.2682","313","38","3","260",\N,\N,\N,\N,\N,"3556","379","63",\N,\N,\N,"N"
"mantlmi01","0.2981","1509","536","153","1677",\N,\N,\N,\N,\N,"6734","290","201","12","15",\N,"Y"
"mayswi01","0.3017","1903","660","338","2062",\N,\N,\N,\N,\N,"7752","233","121","12","32",\N,"Y"
"mcdougi01","0.2761","576","112","45","697",\N,\N,\N,\N,\N,"2352","3373","815","3","3",\N,"N"
"mcmilro01","0.2427","594","68","41","739",\N,\N,\N,\N,\N,"3722","6233","1311","0","3",\N,"N"
"groatdi01","0.2857","707","39","14","829",\N,\N,\N,\N,\N,"3526","5864","1241","9","5",\N,"N"
"haddiha01","0.2118","64","4","4","95","3.6526666482289634","21","1575","136","1.2327","115","358","24","0","3",\N,"N"
"kuennha01","0.3026","671","87","68","951",\N,\N,\N,\N,\N,"3028","2345","468","6","2",\N,"N"
"matheed01","0.2712","1453","512","68","1509",\N,\N,\N,\N,\N,"2966","4385","444","11","4",\N,"Y"
"wilheho01","0.0880","21","1","0","24","3.253076915557568","227","1610","143","1.1245","114","373","17","9",\N,\N,"Y"
"bankser01","0.2742","1636","512","50","1305",\N,\N,\N,\N,\N,"14206","4355","1742","11","10",\N,"Y"
"brutobi01","0.2726","545","94","207","937",\N,\N,\N,\N,\N,"3905","105","32",\N,\N,\N,"N"
"facero01","0.1598","7","0","0","9","3.158235290471245","193","877","104","1.2429","104","212","15","9","1",\N,"N"
"kalinal01","0.2973","1583","399","137","1622",\N,\N,\N,\N,\N,"5938","235","126","11","20",\N,"Y"
"larsedo01","0.2416","72","14","0","65","4.144705842523014","26","849","81","1.3999","95","244","22",\N,"2",\N,"N"
"podrejo01","0.1903","50","2","1","61","4.312499955296516","11","1435","148","1.3166","80","313","24","5","2",\N,"N"
"aaronha01","0.3050","2297","755","240","2174",\N,\N,\N,\N,\N,"7436","429","218","12","16",\N,"Y"
"killeha01","0.2560","1584","573","19","1283",\N,\N,\N,\N,\N,"8849","1963","767","6","8",\N,"Y"
"moonwa01","0.2889","661","142","89","737",\N,\N,\N,\N,\N,"3133","174","133","3","2",\N,"N"
